algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
LIWSA-Task-ML,60,108.354000,0.430268,3.880541,27.876923,10.315074,49.410769,3.880541,0.553741,0,0.000000,0.296922,0.425651,275.953351,110381.340385,76.181334,108.354000,429
LIWSA-Task-ML,60,103.899423,0.435337,4.757825,37.713077,11.239277,51.270000,4.757825,0.577482,0,0.000000,0.311910,0.470020,277.360915,110944.366063,71.492163,103.899423,448
LIWSA-Task-ML,60,104.030000,0.432859,3.811019,27.640000,9.393739,38.289615,3.811019,0.576757,0,0.000000,0.268323,0.426618,250.398953,100159.581335,76.116400,104.030000,417
LIWSA-Task-ML,60,103.892647,0.435162,2.500659,13.860000,8.011546,35.083077,2.500659,0.577519,0,0.000000,0.265220,0.487142,248.243981,99297.592421,76.338210,103.892647,390
LIWSA-Task-ML,60,107.487212,0.429583,4.641154,20.416154,10.632628,35.559231,4.641154,0.558206,0,0.000000,0.278706,0.397673,262.661588,105064.635068,77.529840,107.487212,362
LIWSA-Task-ML,60,105.398077,0.435504,3.392121,29.742308,10.380884,51.041538,3.392121,0.569270,0,0.000000,0.331541,0.498394,292.580232,117032.092647,70.454264,105.398077,332
LIWSA-Task-ML,60,103.892647,0.430780,2.756535,12.783462,7.771711,26.432308,2.756535,0.577519,0,0.000000,0.241363,0.378973,233.372652,93349.060973,78.816764,103.892647,298
LIWSA-Task-ML,60,105.015441,0.434906,4.516869,26.557692,10.868480,38.126923,4.516869,0.571345,0,0.000000,0.302413,0.440381,273.465697,109386.278846,73.257384,105.015441,435
LIWSA-Task-ML,60,104.923462,0.432357,4.259324,25.363077,10.633099,42.801538,4.259324,0.571845,0,0.000000,0.303735,0.403841,274.130632,109652.252828,73.054582,104.923462,596
LIWSA-Task-ML,60,105.544412,0.435050,2.902495,20.720385,8.786542,31.720385,2.902495,0.568481,0,0.000000,0.278747,0.453505,259.438768,103775.507353,76.124176,105.544412,574
LIWSA-Task-ML,60,105.398077,0.433865,6.322002,37.875385,13.039611,52.875385,6.322002,0.569270,0,0.000000,0.318678,0.435696,284.445626,113778.250452,71.810032,105.398077,540
LIWSA-Task-ML,60,104.562750,0.433517,4.278022,33.839231,10.130211,57.092308,4.278022,0.573818,0,0.000000,0.279841,0.418063,258.483026,103393.210407,75.301805,104.562750,493
