algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
LIWSA-Task,1000,1141.992000,7.451378,313.468824,1024.511000,323.045406,1045.992000,313.468824,0.875663,138,0.138000,0.698821,0.864448,6125.927293,2450370.917081,343.943517,878.875375,2223
LIWSA-Task,1000,1052.085000,7.440448,303.640818,946.441154,312.909711,954.085000,303.640818,0.950494,150,0.150000,0.734169,0.882781,5972.082840,2388833.136086,279.677259,769.491912,1528
LIWSA-Task,1000,1095.890000,7.406213,314.184078,989.248000,323.573547,1001.890000,314.184078,0.912500,143,0.143000,0.713991,0.864196,6032.371009,2412948.403733,313.434231,889.818088,1477
LIWSA-Task,1000,1204.266923,7.414059,319.928787,1090.534615,329.603313,1107.266923,319.928787,0.830381,137,0.137000,0.669462,0.841718,6174.899453,2469959.781222,398.056413,922.123100,1478
LIWSA-Task,1000,1108.010000,7.405527,311.884021,987.041923,321.331733,1009.010000,311.884021,0.902519,157,0.157000,0.710562,0.856720,6061.492484,2424596.993552,320.700652,865.047059,1495
LIWSA-Task,1000,1126.173077,7.415782,311.013833,1011.459615,320.345786,1029.173077,311.013833,0.887963,151,0.151000,0.690536,0.863649,6003.613102,2401445.240950,348.510292,893.349842,1436
LIWSA-Task,1000,1068.514500,7.452426,296.734391,959.130769,305.979036,969.514500,296.734391,0.935879,149,0.149000,0.720989,0.885919,5959.958601,2383983.440271,298.127466,741.685824,1515
LIWSA-Task,1000,1169.848500,7.456531,328.761010,1060.804000,338.605274,1071.848500,328.761010,0.854812,150,0.150000,0.701249,0.842550,6259.768712,2503907.484955,349.493114,872.187625,1487
LIWSA-Task,1000,1141.742353,7.417409,308.260810,1033.219231,317.769019,1046.742353,308.260810,0.875854,144,0.144000,0.693984,0.853034,6091.740892,2436696.356787,349.391603,890.054118,1584
LIWSA-Task,1000,1071.506000,7.437063,297.539630,956.551500,306.724155,977.506000,297.539630,0.933266,145,0.145000,0.714300,0.881440,5929.898933,2371959.573303,306.128910,757.850853,1553
LIWSA-Task,1000,1101.992000,7.449441,310.610683,1000.199500,320.002066,1003.992000,310.610683,0.907448,153,0.153000,0.710182,0.872876,6033.327907,2413331.162896,319.376748,844.953176,1617
LIWSA-Task,1000,1129.014118,7.441894,315.602069,1027.663529,325.186332,1034.014118,315.602069,0.885729,149,0.149000,0.707421,0.857757,6129.767591,2451907.036425,330.325585,851.551029,1636
LIWSA-Task,1000,1174.509412,7.419550,327.749551,1053.433846,337.512705,1076.509412,327.749551,0.851419,149,0.149000,0.692712,0.840530,6219.213553,2487685.421267,360.913219,915.002941,1506
LIWSA-Task,1000,1073.952308,7.449897,306.666357,971.185000,316.030357,981.952308,306.666357,0.931140,146,0.146000,0.726600,0.877294,6019.636596,2407854.638348,293.618941,804.429661,1512
LIWSA-Task,1000,1051.048235,7.437575,302.245407,940.054706,311.545027,953.048235,302.245407,0.951431,136,0.136000,0.737329,0.879309,5987.446663,2394978.665158,276.079857,801.755588,1587
LIWSA-Task,1000,1062.511538,7.430879,293.316525,958.919231,302.435239,963.511538,293.316525,0.941166,124,0.124000,0.715185,0.889392,5896.993396,2358797.358371,302.618705,759.168538,2136
LIWSA-Task,1000,1093.997000,7.450636,309.935135,983.864615,319.463712,997.997000,309.935135,0.914079,134,0.134000,0.725823,0.864207,6101.925237,2440770.094910,299.948859,825.687294,1961
LIWSA-Task,1000,1136.449615,7.464527,320.892070,1028.097000,330.666268,1039.449615,320.892070,0.879933,156,0.156000,0.716720,0.857611,6224.735521,2489894.208597,321.933094,854.988586,1857
LIWSA-Task,1000,954.270000,7.434266,289.461091,848.685000,298.258962,856.270000,289.461091,1.047921,132,0.132000,0.768290,0.905942,5736.571483,2294628.593213,221.114152,638.907353,1815
LIWSA-Task,1000,1106.502000,7.437000,317.671778,988.155500,327.249926,1010.502000,317.671778,0.903749,149,0.149000,0.721353,0.860305,6126.710133,2450684.053394,308.323043,851.441412,1807
LIWSA-Task,1000,1058.089412,7.438186,293.558119,931.877500,302.717499,961.089412,293.558119,0.945100,132,0.132000,0.721377,0.882895,5917.326285,2366930.514140,294.807763,725.938235,2273
LIWSA-Task,1000,1100.601000,7.424268,319.306044,991.653000,328.728658,1002.601000,319.306044,0.908594,150,0.150000,0.713445,0.860262,6048.943106,2419577.242534,315.383215,797.891750,2064
LIWSA-Task,1000,1168.268462,7.461854,323.475436,1042.498462,333.240893,1069.268462,323.475436,0.855968,152,0.152000,0.696576,0.858315,6220.365377,2488146.150792,354.480298,883.687726,2021
LIWSA-Task,1000,1102.416471,7.462766,308.225229,982.945294,317.759598,1003.416471,308.225229,0.907098,151,0.151000,0.720717,0.870339,6104.820902,2441928.360973,307.885719,790.067353,2738
LIWSA-Task,1000,1127.196000,7.458155,312.836709,1012.793077,322.480221,1028.196000,312.836709,0.887157,148,0.148000,0.712943,0.860620,6159.392285,2463756.913801,323.570018,819.994235,2715
LIWSA-Task,1000,1222.450588,7.457691,337.303013,1087.067059,347.360786,1125.450588,337.303013,0.818029,151,0.151000,0.685629,0.835362,6366.522934,2546609.173643,384.302832,948.971713,2283
LIWSA-Task,1000,1158.911765,7.438965,320.015820,1026.073462,329.673030,1061.911765,320.015820,0.862878,142,0.142000,0.694417,0.846688,6166.241149,2466496.459729,354.144306,836.779515,1796
LIWSA-Task,1000,1040.582500,7.443338,299.711013,932.218000,308.902028,942.582500,299.711013,0.961000,151,0.151000,0.736047,0.884988,5933.143658,2373257.463122,274.664623,739.247059,1794
