algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
RL-GA-lite,60,152.522000,0.469142,5.131185,45.324706,15.659807,80.888235,5.131185,0.393386,0,0.000000,0.345151,0.751424,398.775999,159510.399774,99.878893,140.155654,98
RL-GA-lite,60,177.644706,0.467115,5.757655,63.083846,16.879297,82.644706,5.757655,0.337753,0,0.000000,0.313030,0.663873,416.566606,166626.642308,122.036498,165.076206,39
RL-GA-lite,60,158.055385,0.462129,5.613867,58.740000,17.131315,71.170000,5.613867,0.379614,0,0.000000,0.364348,0.684691,428.440783,171376.313122,100.468147,146.395532,32
RL-GA-lite,60,134.196000,0.468883,4.658934,73.904706,15.614353,80.740000,4.658934,0.447107,0,0.000000,0.408187,0.783793,411.579913,164631.965158,79.418907,125.581750,32
RL-GA-lite,60,114.527647,0.470000,2.380331,17.724500,11.137699,43.359231,2.380331,0.523891,0,0.000000,0.382325,0.765936,345.638391,138255.356222,70.740808,114.527647,35
RL-GA-lite,60,148.767059,0.472871,5.981142,34.893529,17.783165,62.398000,5.981142,0.403315,0,0.000000,0.396661,0.624232,436.978039,174791.215724,89.756945,144.665520,35
RL-GA-lite,60,158.491765,0.472637,4.077111,26.184500,14.670223,63.491765,4.077111,0.378569,0,0.000000,0.334185,0.643090,400.710730,160284.291855,105.526202,147.327149,97
RL-GA-lite,60,163.367647,0.470062,4.150634,49.418824,15.085665,68.367647,4.150634,0.367270,0,0.000000,0.334676,0.765221,410.968282,164387.312783,108.692493,151.513824,74
RL-GA-lite,60,125.177647,0.466186,1.737857,28.323529,10.086021,67.430588,1.737857,0.479319,0,0.000000,0.333453,0.838348,333.362299,133344.919570,83.436823,105.731647,73
RL-GA-lite,60,148.195294,0.469025,5.632765,58.550000,17.319271,80.961000,5.632765,0.404871,0,0.000000,0.394294,0.706763,433.512515,173405.006109,89.762768,140.713544,67
RL-GA-lite,60,173.044706,0.477946,4.240046,40.147059,14.144457,78.044706,4.240046,0.346731,0,0.000000,0.286181,0.707323,380.049682,152019.872964,123.522651,166.026244,71
RL-GA-lite,60,163.446154,0.462672,5.891099,68.826154,16.363288,85.446154,5.891099,0.367093,0,0.000000,0.320356,0.707708,397.083010,158833.204186,111.085211,144.399279,49
RL-GA-lite,60,159.196000,0.471894,3.826041,50.588000,14.761979,96.196000,3.826041,0.376894,0,0.000000,0.343474,0.710921,410.995484,164398.193665,104.516312,145.125327,38
RL-GA-lite,60,156.867059,0.471723,5.520965,48.336000,16.376170,76.330000,5.520965,0.382489,0,0.000000,0.346000,0.590964,408.573513,163429.405204,102.591033,149.220617,49
