algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
WOA,1000,1743.991538,7.093433,430.924615,1632.694615,439.000648,1644.991538,430.924615,0.573397,208,0.208000,0.385898,0.618951,5375.652795,2150261.117986,1070.988805,1743.991538,3276
WOA,1000,1868.044615,7.109530,506.903039,1748.646923,515.508006,1769.044615,506.903039,0.535319,217,0.217000,0.383867,0.537244,5640.119793,2256047.917308,1150.964049,1868.044615,2969
WOA,1000,1526.882404,6.903875,600.369743,1425.421346,606.509319,1427.882404,600.369743,0.654929,286,0.286000,0.335082,0.430517,4407.424741,1762969.896380,1015.251013,1526.882404,4225
WOA,1000,2213.736471,7.530491,436.459423,2091.145882,448.445221,2116.736471,436.459423,0.451725,178,0.178000,0.451190,0.703891,7330.535213,2932214.085181,1214.920001,2040.485735,1828
WOA,1000,2067.326923,7.167432,480.367549,1951.353077,489.512989,1969.326923,480.367549,0.483716,208,0.208000,0.368650,0.566464,5910.356472,2364142.588688,1305.206910,2067.326923,2380
WOA,1000,1586.443077,7.050952,454.923756,1466.933846,461.640612,1490.443077,454.923756,0.630341,224,0.224000,0.352826,0.526364,4696.064557,1878425.822738,1026.705050,1586.443077,3162
WOA,1000,1828.615294,7.108288,503.394405,1722.591765,510.715644,1729.615294,503.394405,0.546862,227,0.227000,0.333642,0.522263,4998.256107,1999302.442647,1218.512009,1828.615294,3691
WOA,1000,2200.483846,7.513818,438.342733,2063.176923,450.221065,2101.483846,438.342733,0.454446,182,0.182000,0.449838,0.696104,7276.802319,2910720.927489,1210.622859,2038.431346,1770
WOA,1000,2313.646154,7.227672,540.297630,2180.413846,550.394283,2214.646154,540.297630,0.432218,216,0.216000,0.363663,0.599320,6385.962656,2554385.062217,1472.258444,2313.646154,2410
WOA,1000,1778.316000,7.116153,442.352034,1643.599000,450.475066,1682.316000,442.352034,0.562330,214,0.214000,0.380652,0.618292,5399.152187,2159660.874774,1101.396701,1769.240412,3066
WOA,1000,2001.516154,7.243525,475.058260,1876.623846,483.654113,1904.516154,475.058260,0.499621,196,0.196000,0.357889,0.510828,5635.563029,2254225.211538,1285.195048,2001.516154,1610
WOA,1000,1988.962308,7.311169,489.532055,1870.273846,499.573893,1889.962308,489.532055,0.502775,207,0.207000,0.420732,0.627627,6358.555265,2543422.106109,1152.142496,1899.034072,1826
WOA,1000,2120.015000,7.297383,565.367387,1998.081500,575.068982,2022.015000,565.367387,0.471695,242,0.242000,0.381349,0.538372,6188.434297,2475373.718891,1311.548683,2120.015000,2517
WOA,1000,2181.709412,7.522629,441.736748,2051.512941,453.864502,2082.709412,441.736748,0.458356,174,0.174000,0.463236,0.689629,7401.513276,2960605.310294,1171.063265,2024.343382,1735
WOA,1000,2162.145500,7.189476,531.159036,2045.745000,540.499438,2063.145500,531.159036,0.462504,215,0.215000,0.359997,0.540468,6007.837138,2403134.855204,1383.778709,2162.145500,2736
WOA,1000,2635.746154,7.247584,473.705026,2517.057692,482.767877,2536.746154,473.705026,0.379399,200,0.200000,0.286537,0.495283,5869.061524,2347624.609615,1880.508632,2635.746154,2153
WOA,1000,1497.306442,7.110102,504.517259,1393.518077,511.218734,1398.306442,504.517259,0.667866,234,0.234000,0.372974,0.559873,4688.373859,1875349.543552,938.850198,1497.306442,2806
WOA,1000,1817.954615,7.128056,454.556976,1692.790769,462.535632,1719.954615,454.556976,0.550069,201,0.201000,0.365734,0.542154,5326.964556,2130785.822285,1153.066588,1817.954615,2314
WOA,1000,2095.002308,7.227178,447.973642,1981.714615,455.856475,1997.002308,447.973642,0.477326,197,0.197000,0.313557,0.518167,5279.052814,2111621.125452,1438.099571,2095.002308,2105
WOA,1000,1551.193846,6.987491,495.758564,1429.096923,502.007314,1454.193846,495.758564,0.644665,228,0.228000,0.335696,0.490039,4462.011452,1784804.580769,1030.464670,1551.193846,3302
WOA,1000,2071.115385,7.538909,430.533826,1958.507059,442.211994,1972.115385,430.533826,0.482832,188,0.188000,0.469882,0.705589,7176.720463,2870688.185294,1097.934706,1836.411414,1569
WOA,1000,2155.915385,7.290573,533.217879,2037.226923,544.797075,2056.915385,533.217879,0.463840,220,0.220000,0.447575,0.606990,7127.234352,2850893.740724,1190.982392,2155.915385,1983
WOA,1000,2393.461176,7.542124,466.712929,2253.518824,479.084686,2294.461176,466.712929,0.417805,178,0.178000,0.430748,0.667066,7523.514790,3009405.915837,1362.481444,2231.865441,1609
WOA,1000,2322.786923,7.159169,586.730328,2198.194615,596.361062,2223.786923,586.730328,0.430517,222,0.222000,0.345516,0.500858,6153.003503,2461201.401244,1520.225738,2322.786923,2385
WOA,1000,2338.524706,7.099890,644.933665,2180.937647,654.642117,2239.524706,644.933665,0.427620,245,0.245000,0.345961,0.464365,6191.862353,2476744.941176,1529.487046,2338.524706,3094
WOA,1000,1919.769231,7.208579,437.945947,1794.605385,445.944610,1821.769231,437.945947,0.520896,187,0.187000,0.347206,0.531733,5336.967715,2134787.086199,1253.214011,1919.769231,2292
WOA,1000,1834.016154,7.165534,440.865766,1709.992308,449.645902,1739.016154,440.865766,0.545251,215,0.215000,0.398949,0.561000,5727.704512,2291081.804977,1102.338134,1834.016154,2311
WOA,1000,1999.823077,7.361567,388.439564,1883.849231,397.449597,1901.823077,388.439564,0.500044,177,0.177000,0.375451,0.640149,5842.652508,2337061.003054,1248.987058,1946.662342,2433
WOA,1000,2297.208462,7.228428,503.448280,2162.387692,513.193456,2199.208462,503.448280,0.435311,202,0.202000,0.353515,0.548322,6210.224188,2484089.675226,1485.110496,2256.348462,2077
WOA,1000,2395.413846,7.273642,510.131793,2262.986923,520.478159,2298.413846,510.131793,0.417464,207,0.207000,0.359937,0.547784,6510.819482,2604327.792986,1533.216665,2395.413846,1911
