algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
LIWSA-Task,100,293.973202,0.69107,4.224605,48.324514,11.567648,60.425283,4.224605,0.340167,0,0,0.208155,0.31959,501.822,200728.8,232.781177,293.973202,865
LIWSA-Task-ML,100,293.973202,0.688301,3.13216,18.375319,8.303919,35.492308,3.13216,0.340167,0,0,0.146605,0.279115,393.257837,157303.1346,250.875205,293.973202,412
WOA,100,299.530367,0.73605,4.12793,42.02047,15.058652,70.024627,4.12793,0.333856,0,0,0.304107,0.640682,681.205963,272482.3851,208.441016,299.530367,179
RL-GA-lite,100,309.541875,0.759728,4.610877,111.293389,15.253388,122.849859,4.610877,0.323058,0,0,0.286512,0.757421,666.795429,266718.1717,220.854279,281.523625,162
LIWSA-Task,1000,2911.791321,7.164674,7.828323,143.118867,18.820376,173.241944,7.828323,0.343431,0,0,0.314584,0.638852,6806.668048,2722667.219,1995.786911,2761.550292,2155
LIWSA-Task-ML,1000,2911.791321,7.101594,12.62058,155.181728,22.666796,188.344036,12.62058,0.343431,0,0,0.287515,0.605872,6333.749737,2533499.895,2074.606629,2732.661762,2029
WOA,1000,2972.0656,7.004514,7.184605,200.535096,15.456244,224.019712,7.184605,0.336466,0,0,0.231927,0.536142,5446.461428,2178584.571,2282.762293,2972.0656,446
RL-GA-lite,1000,2959.932864,7.433622,10.790619,219.420101,22.573794,263.119185,10.790619,0.337846,0,0,0.331741,0.692138,7202.229002,2880891.601,1978.001628,2718.918057,470
LIWSA-Task,10000,29103.35516,74.228926,11.112389,322.258863,23.340302,344.445922,11.112389,0.343603,2,0.0002,0.350129,0.66706,74346.61798,29738647.19,18913.42843,26532.42366,26553
LIWSA-Task-ML,10000,29102.85807,73.33933,2.946461,124.811937,12.270381,137.402674,2.946461,0.343609,0,0,0.266982,0.844416,59826.65929,23930663.72,21332.92444,26011.63749,22874
WOA,10000,29203.48388,71.509124,14.283475,282.71207,24.33481,312.315147,14.283475,0.342425,5,0.0005,0.286819,0.523585,63463.73081,25385492.32,20827.37167,29203.48388,15972
RL-GA-lite,10000,29124.0781,75.0815,13.735708,354.291875,25.996559,406.625992,13.735708,0.343359,9,0.0009,0.350822,0.673143,74511.3094,29804523.76,18906.70279,26965.52492,6231
LIWSA-Task,100000,291006.0689,749.071337,18.276405,851.32755,30.772459,872.601041,18.276405,0.343635,301,0.00301,0.357841,0.655287,757020.029,302808011.6,186872.2816,267571.9739,440722
LIWSA-Task-ML,100000,291005.1563,749.136225,21.207964,1297.588795,33.768431,1344.181979,21.207964,0.343637,467,0.00467,0.359686,0.649798,760240.6384,304096255.3,186334.6008,267304.4468,394224
WOA,100000,291114.4005,725.125185,16.815527,548.476031,27.569984,573.961912,16.815527,0.343508,164,0.00164,0.307853,0.528688,669940.1866,267976074.6,201493.9204,291114.4005,704117
RL-GA-lite,100000,291104.1598,752.140389,24.906916,1278.501362,37.533739,1313.206054,24.906916,0.34352,648,0.00648,0.361463,0.644556,763558.4518,305423380.7,185880.6354,268936.6583,53090
